1790,0.216
1794,0.25
1798,0.36
1802,0.42
1806,0.458
1810,0.498
1814,0.528
1818,0.411
1822,0.447
1826,0.501
1830,0.557
1834,0.63
1838,0.708
1842,0.618
1846,0.603
1850,0.605
1854,0.661
1858,0.691
1862,0.651
1866,0.714
1870,0.67
1874,0.65
1878,0.652
1882,0.657
1886,0.639
1890,0.646
1894,0.674
1898,0.601
1902,0.556
1906,0.513
1910,0.52
1914,0.504
1918,0.399
1922,0.357
1926,0.329
1930,0.367
1934,0.445
1938,0.466
1942,0.339
1946,0.388
1950,0.436
1954,0.435
1958,0.45
1962,0.477
1966,0.487
1970,0.473
1974,0.391
1978,0.39
1982,0.42
1986,0.381
1990,0.384
1994,0.411
1998,0.381
2002,0.395
2006,0.404
2010,0.41
2014,0.367
2018,0.5005
2022,0.4612
